Emoji >,shy_blush,peaceful_smile,big_frown,blush_kissy,tongue_out,snoozing_sleeping,smirky_face,huff_puff,upside_down_smiley,angry_face,thinking_face,ironic_smiley,big_smile,sad_sweat,blushy_smiley,smile_sweat,clenched_teeth,sleep_snot,downcast_sad,sad_tear,laughing_tears,tears_streaming,yummy_smile,dead_eyes,bandage_head,cheesing_grin,sick_fever,surprised_face,content_blushy,flat_affect,scared_face,surprised_sad,very_sad,super_upset,money_eyes,not_happy,nerd_glasses,blowing_kiss,rolling_eyes,heart_eyes,sunglasses_smiley,peekaboo_smile,playful_wink,angel_smiley,upset_worried
Speakers>,bengali_9,bengali_13,bengali_16,gujarati_5,gujarati_13,gujarati_14,urdu_2,urdu_15,urdu_27,indonesian_1,indonesian_8,indonesian_10,tagalog_6,tagalog_9,tagalog_18,thai_2,thai_6,thai_7,japanese_11,japanese_12,japanese_26,korean_2,korean_24,korean_30,mandarin_14,mandarin_53,mandarin_63,english_21,english_89,english_103,english_428,english_212,english_357,english_288,english_171,english_126,english_3,english_73,english_153,english_2,english_38,english_460,africaans_2,africaans _5,africaans _42
Language/Dialect,Bengali,Bengali,Bengali,Gujarati,Gujarati,Gujarati,Urdu,Urdu,Urdu,Indonesian,Indonesian,Indonesian,Tagalog,Tagalog,Tagalog,Thai,Thai,Thai,Japanese,Japanese,Japanese,Korean,Korean,Korean,Mandarin,Mandarin,Mandarin,New England,New England,New England,Southern,Southern,Southern,Midland American,Midland American,Midland American,Australian,Australian,Australian,British,British,British,African/Africaans,African/Africaans,African/Africaans
LNG_1,South,South,South,South,South,South,South,South,South,South East,South East,South East,South East,South East,South East,South East,South East,South East,East,East,East,East,East,East,East,East,East,American,American,American,American,American,American,American,American,American,International ,International ,International ,International ,International ,International ,International ,International ,International 
LNG_2,Asian,Asian,Asian,Asian,Asian,Asian,South,South,South,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English
Participants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,6,1,4,1,5,6,2,4,9,9,3,5,5,2,5,1,3,1,9,4,2,5,3,5,1,5,8,11,10,8,9,10,7,11,6,7,11,11,8,6,7,9,10,11
7,5,5,5,5,5,5,5,5,5,2,5,5,5,4,5,2,2,6,2,2,6,6,6,2,6,6,2,4,4,4,4,4,4,4,4,4,3,1,1,3,3,3,3,3,1
1,5,5,5,5,5,5,5,5,5,6,2,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,3,3,1,3,1,1,1,3,3,3,3,3,3,5,3,5
10,1,7,7,1,1,1,1,1,1,6,2,7,2,2,7,6,6,6,7,6,6,6,2,6,6,6,2,4,4,4,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3
11,11,14,7,14,15,7,14,13,15,11,7,15,8,8,12,11,10,9,12,13,9,12,9,10,13,10,8,6,4,4,6,5,6,5,5,4,3,3,1,1,2,3,2,2,1
